@lat,@lon
49.9951698,36.2435452
49.9973959,36.2458144
49.9964729,36.2467805
50.0010609,36.2684667
50.0002362,36.3020224
49.9920938,36.2849815
49.9957706,36.2724417
49.9971899,36.2826336
49.9969116,36.2737995
49.9923543,36.2772079
49.9390006,36.3807323
49.9766001,36.2532956
49.9938838,36.2333193
49.9981534,36.2741627
50.0031735,36.3914070
49.9879360,36.2345207
49.9928458,36.2436455
49.9932493,36.2429913
49.9859203,36.2786056
50.1025836,36.2714540
49.9971534,36.2066587
50.0288677,36.2062396
49.9904128,36.2532688
49.9304240,36.2562425
49.9445056,36.3138309
49.9736321,36.1596155
49.9744625,36.1276378
49.9796227,36.0865878
49.9742770,36.1276378
49.9470460,36.2683723
49.9797181,36.2722000
50.0267911,36.2585659
49.9830556,36.3278268
49.9851549,36.2085503
49.9720153,36.1814514
49.9869968,36.2631178
49.9803943,36.2634569
49.9813125,36.1817348
49.9950563,36.2341584
49.9951758,36.2318171
50.0183573,36.2884725
49.8719063,36.2927995
49.8708235,36.2804436
49.9834743,36.2579797
49.9698070,36.2589461
49.9691025,36.2560680
49.9711867,36.2542696
50.0176691,36.2382716
50.0677157,36.2111799
49.9636882,36.1323991
50.0014329,36.3430088
50.0131265,36.3443334
49.9521187,36.3644322
49.9810949,36.2231970
49.8933700,36.1531626
49.9362199,36.3561442
49.9499525,36.3711390
49.9430823,36.3918582
50.0055319,36.3534779
49.9590472,36.3617360
49.9742202,36.3350073
49.9708667,36.3288817
49.9692422,36.3356074
49.9681662,36.3184393
50.0255025,36.3681516
49.9350682,36.1080765
49.9926998,36.2397248
49.9395161,36.3671796
49.9065986,36.4275545
49.9598090,36.3928044
49.9378364,36.4099284
49.9442510,36.3793157
49.9502156,36.3602184
49.9582425,36.3320771
49.9644096,36.3350270
49.9554468,36.3583521
49.9537002,36.3486061
49.9503101,36.3023844
49.9520049,36.3140068
49.9588499,36.3562640
49.9572149,36.3655060
49.9450863,36.3306207
49.9339778,36.3720728
49.9335217,36.3453076
49.9324839,36.4161189
49.9270528,36.3882918
49.9232065,36.3991132
49.9920665,36.2349758
49.9946351,36.2379459
49.9948337,36.2317242
49.9931766,36.2317219
49.9931318,36.2325435
49.9686478,36.2637477
50.0023319,36.2155633
50.0032798,36.2439938
49.9470757,36.3913461
49.9293392,36.4030817
49.9266964,36.4126663
49.9380701,36.4220785
49.9385694,36.4197674
49.9437060,36.4099901
49.9357064,36.3692027
49.9192242,36.4092874
49.9318824,36.2483541
50.0100763,36.3287215
50.0119241,36.3167428
50.0096975,36.3498262
50.0077828,36.3488219
50.0091055,36.3493708
50.0057997,36.3514753
50.0056326,36.3448846
50.0030223,36.3510347
50.0047847,36.3401396
50.0034980,36.3357662
50.0058279,36.2248861
50.0046895,36.2222971
49.9387502,36.4189108
49.9372660,36.4236049
50.0454474,36.2075465
50.0502049,36.1989354
50.0442919,36.2035139
50.0391339,36.2446125
50.0368721,36.2437956
50.0387994,36.2833864
50.0345886,36.2760837
50.0356313,36.2706027
49.9497849,36.2751557
49.9987403,36.2069070
50.0290952,36.3098373
50.0269141,36.3249965
50.0260117,36.3278648
50.0145182,36.3270903
49.9785878,36.3106037
49.9926020,36.2440976
49.9992884,36.2721551
50.0506611,36.1710440
50.0536346,36.1804698
49.9853677,36.2344392
49.9495596,36.2291796
49.9721818,36.2416451
49.9817820,36.2297577
49.9946650,36.2208273
50.0555287,36.1816531
50.0450443,36.1533405
50.0476136,36.1613240
49.9848074,36.2706977
49.9851096,36.2675580
49.9863136,36.2722336
49.9788179,36.2703044
50.1007297,36.2736141
49.9678823,36.2135316
49.9917808,36.2491854
49.9887247,36.2458339
49.9988319,36.2391861
49.9945540,36.2443861
49.9995678,36.2328284
50.0300224,36.2156473
50.0341352,36.2292548
50.0167057,36.3363430
49.9960452,36.2275662
49.9604421,36.3113206
49.9420145,36.3097955
50.0019004,36.2480719
50.0007102,36.2495438
50.0322199,36.3050821
50.0142437,36.2463807
50.0152804,36.2351677
50.0320651,36.2132845
50.0314223,36.2269584
50.0008881,36.2469028
50.0028514,36.2489261
50.0329081,36.2235449
49.9905867,36.2441211
49.9904104,36.2416245
49.9906963,36.2445613
49.9874748,36.2501261
49.9922647,36.2488727
49.9956328,36.2352206
49.9857872,36.2575857
49.9860601,36.2462671
49.9927558,36.3042237
50.0114650,36.2238010
50.0085955,36.2225472
50.0403745,36.3125482
50.0527057,36.3544847
50.0202532,36.3332708
50.0042352,36.2573126
50.0081956,36.2642372
50.0017027,36.2612655
50.0022965,36.2506152
50.0069789,36.2547701
50.0082198,36.2566958
50.0140362,36.2490769
50.0120062,36.2498674
50.0082110,36.2503712
50.0159091,36.2546501
49.9931869,36.2365449
49.9934698,36.2379624
