@lat,@lon
49.8271401,24.0421479
49.8281059,24.0349423
49.8276344,24.0369939
49.8425417,23.9766260
49.8418281,23.9683722
49.8435136,23.9673201
49.8440892,23.9790354
49.8468735,23.9681892
49.8468060,23.9701230
49.8455878,23.9796792
49.8475962,23.9599059
49.8327544,23.9995457
49.8361901,24.0030127
49.8308357,23.9938102
49.8354605,24.0074695
49.8266941,24.0103925
49.8195650,24.0096270
49.8204740,24.0087138
49.8299103,24.0235641
49.8290825,24.0300717
49.8297283,24.0324507
49.8293402,24.0320941
49.8295868,24.0321010
49.8283760,24.0338003
49.8340985,24.0086926
49.8267961,24.0002463
49.8226763,23.9975631
49.8300623,24.0077346
49.8020007,24.0171997
49.8286413,24.0395143
49.8297768,24.0415964
49.8305833,24.0413979
49.8284215,24.0434589
49.8377487,23.9770276
49.8357418,23.9721721
49.8559966,24.0226511
49.8493389,24.0015255
49.8351666,23.9758717
49.8155486,24.0020308
49.8250938,24.0087221
49.8223236,24.0106227
49.8222168,24.0063493
49.8222326,23.9952908
49.8220225,23.9951645
49.8121514,23.9914512
49.8227838,24.0068765
49.8193177,24.0044815
49.8193779,24.0043034
49.8192756,24.0030835
49.8148371,23.9865481
49.8178992,24.0242611
49.8196628,24.0292526
49.8194809,24.0286530
49.8191383,24.0287959
49.8188828,24.0288161
49.8170842,24.0290513
49.8180377,24.0270143
49.8189570,24.0273683
49.8173674,24.0269058
49.8168616,24.0285459
49.8345712,24.0351558
49.8293424,24.0450169
49.8294582,24.0478730
49.8292015,24.0448096
49.8331204,24.0410198
49.8290053,24.0451178
49.8283425,24.0471346
49.8131006,24.0379048
49.8107231,24.0447443
49.8183423,24.0265279
49.8197555,24.0308354
49.8203739,24.0323153
49.8245964,24.0312718
49.8202569,24.0272335
49.8204042,24.0222331
49.8217651,24.0224209
49.8235963,24.0303809
49.8234803,24.0294447
49.8156966,24.0278364
49.8120906,24.0327524
49.8175760,24.0321539
49.8180735,24.0320779
49.8158547,24.0353667
49.8145210,24.0379373
49.8145691,24.0411019
49.8163826,24.0346770
49.8308879,24.0478276
49.8171768,24.0294053
49.8196768,24.0305890
49.8150523,24.0331503
49.8155254,24.0326346
49.8050603,24.0461667
49.8099120,24.0484865
49.8082817,24.0490243
49.8081897,24.0499208
49.8079834,24.0437894
49.8081362,24.0428617
49.8082325,24.0491162
49.8079993,24.0471162
49.8082396,24.0465423
49.8394800,24.0270155
49.8380597,24.0364384
49.8360171,24.0413925
49.8327068,24.0507298
49.8401316,24.0468857
49.8388175,24.0421162
49.8389852,24.0432719
49.8176836,24.0264342
49.8177414,24.0265358
49.8203961,24.0241149
49.8176195,24.0267420
49.7671064,24.0142577
49.7644657,24.1155311
49.7517997,24.0104055
49.7501771,24.0115270
49.7503263,24.0101827
49.7523558,24.0064287
49.7543422,24.0055682
49.7521729,24.0034335
49.7532044,24.0050672
49.7511257,24.0048477
49.7857003,24.0654081
49.7907592,24.0631279
49.7888465,24.0661274
49.7895661,24.0647315
49.7870121,24.0687002
49.7862335,24.0674828
49.7932790,24.0682943
49.7929098,24.0612865
49.7833094,23.9837303
49.8298766,23.9802057
49.8314916,23.9805498
49.8284040,23.9811909
49.8310727,23.9788618
49.8321784,23.9833862
49.8308582,23.9780350
49.8306455,23.9771130
49.8295661,23.9771493
49.8280537,23.9800099
49.8281981,23.9771522
49.8301797,23.9754340
49.8327052,24.0047728
49.8132145,23.9960857
49.8211986,24.0038694
49.8082623,24.0471012
49.8080779,24.0481326
49.8082766,24.0451648
49.8079960,24.0465426
49.7708447,23.9179409
49.8251620,23.9395248
49.8256004,23.9407089
49.8232705,23.9374700
49.8259337,23.9436683
49.8264602,23.9432742
49.8327429,23.9567718
49.8239104,23.9329119
49.8257439,23.9380249
49.8248379,23.9345139
49.8258004,23.9385883
49.8237681,23.9337425
49.8270372,23.9351935
49.8286317,23.9268595
49.8270948,23.9172303
49.8361670,23.9656566
49.8392151,23.9694597
49.8483567,23.9658542
49.8337238,24.0145155
49.8336776,24.0126833
49.8334045,24.0110298
49.8340755,24.0108509
49.8337120,24.0124124
49.8342275,24.0099524
49.8226420,24.0291390
49.8217250,24.0275045
49.8679201,24.0166399
49.8470171,23.9982717
49.8466716,24.0005102
49.8397798,24.0073453
49.8408097,24.0050678
49.8375071,24.0036051
49.8375700,24.0050620
49.8394887,24.0061727
49.8401777,24.0083731
49.8414091,24.0080334
49.8436437,24.0106586
49.8440147,23.9981402
49.8441773,24.0050181
49.8447392,24.0017360
49.8432988,24.0033276
49.8416744,23.9998799
49.8412086,24.0012847
49.8393683,24.0057082
49.8389270,24.0070544
49.8400768,24.0060353
49.8368061,24.0057849
49.8365479,24.0064486
49.8377428,24.0074648
49.8368601,24.0090972
49.8341796,24.0042383
49.8293387,23.9980950
49.8304379,24.0010272
49.8319726,23.9945490
49.8166838,23.9975778
49.8201861,23.9952251
49.8189795,23.9951031
49.8171629,23.9963669
49.8150742,23.9968536
49.8159260,23.9980094
49.8157185,23.9990829
49.7574016,24.0299284
49.7640081,24.0084462
49.7574614,24.0145216
49.7508488,24.0137114
49.7568250,24.0087115
49.7579201,24.0124713
49.7616280,24.0097784
49.8069897,24.0468615
49.8049416,24.0463079
49.8123121,24.0195424
49.8402982,24.0273347
49.8295282,24.0303603
49.8293992,24.0293330
49.8221383,24.0027989
49.8232873,24.0040004
49.8224214,24.0021944
49.8162307,24.0670852
49.7507946,23.9227249
49.7491548,23.9210802
49.7496156,23.9244927
49.7497927,23.9257193
49.7501196,23.9280203
49.8219084,23.9059103
49.8239578,23.8927004
49.8327444,23.8869725
49.8452761,23.8889222
49.8360854,23.8782460
49.8386121,23.8773050
49.8405244,23.8723777
49.8418773,23.8710813
49.8411518,23.8723725
49.8438807,23.8705164
49.8429237,23.8745221
49.8419951,23.8741361
49.8416940,23.8743123
49.8403789,23.8733129
49.8390974,23.8685120
49.8389586,23.8748120
49.8383566,23.8747392
49.8412881,23.8775593
49.8437110,23.8747151
49.8411371,23.8783462
49.8408229,23.8795850
49.8404939,23.8806056
49.8403720,23.8812881
49.8401784,23.8819938
49.8368291,23.8821476
49.8379630,23.8814270
49.8384584,23.8796462
49.8382372,23.8847918
49.8364828,23.8764768
49.8371908,23.8756543
49.7750856,24.0879951
49.7776634,24.0910062
49.7766825,24.0893967
49.7694290,24.0915263
49.7769322,24.0872447
49.7794174,24.0789804
49.7770812,24.0823405
49.7838215,24.0995768
49.8092003,24.0742809
49.8126064,24.0694174
49.8114753,24.0720441
49.8106366,24.0674921
49.8241703,24.0854114
49.8245452,24.0771975
49.8368498,24.0658872
49.8384328,24.0649399
49.8364828,24.0753070
49.8592549,24.0573958
49.8545094,24.0601172
49.8409324,24.0945051
49.8729775,24.1225970
49.8863674,24.0880948
49.8886301,23.8594267
49.8988992,24.0495866
