@lat	@lon
50.4999556	30.4735989
50.5019406	30.4722485
50.4988538	30.4662038
50.4914205	30.4702484
50.4897124	30.4666685
50.4909981	30.4620710
50.4743712	30.4761772
50.4732958	30.4686956
50.4697671	30.4732457
50.4674186	30.4883532
50.4643990	30.4963360
50.4487139	30.4760707
50.4479719	30.4756854
50.4479667	30.4760224
50.4356204	30.4909571
50.4320836	30.4696728
50.4370516	30.4915921
50.4285004	30.4815928
50.4322746	30.4518207
50.4288470	30.4664147
50.4246746	30.4620402
50.4266621	30.4590105
50.4264807	30.4586289
50.4241606	30.4592607
50.4346751	30.4422218
50.4359846	30.4350203
50.4273894	30.4355642
50.4415630	30.4410669
50.4235042	30.4490271
50.4210476	30.4573515
50.4157772	30.4599734
50.4164088	30.4646293
50.4103645	30.4571842
50.4124430	30.4697167
50.4148593	30.4697259
50.4311793	30.4186442
50.4420564	30.4038863
50.4383626	30.4185949
50.4452889	30.4021950
50.4577217	30.4249783
50.4583593	30.4247588
50.4591036	30.4306133
50.4573477	30.4421896
50.4541604	30.4466261
50.4524318	30.4451709
50.4634209	30.4504596
50.4715332	30.4473721
50.4746327	30.4482740
50.4828986	30.4920798
50.4410646	30.4901408
50.4373485	30.4876601
50.4404587	30.4838322
50.4376560	30.4870098
50.4394547	30.4846333
50.4406681	30.4835546
50.4507397	30.4666230
50.5275766	30.4775139
50.5230787	30.4785577
50.5230801	30.4792261
50.5175017	30.4863766
50.5177575	30.4885120
50.5255710	30.4913148
50.5259642	30.4983167
50.5251805	30.4836069
50.5249766	30.4844062
50.5440927	30.4876227
50.5442856	30.4891139
50.5661427	30.4720235
50.5667315	30.4709167
50.5670425	30.4723043
50.5942391	30.4500093
50.5928792	30.4493687
50.5215208	30.4653186
50.5211340	30.4495868
50.4869190	30.4728109
50.4870939	30.4737624
50.4867030	30.4721901
50.5053394	30.4075791
50.5054027	30.4071658
50.5078803	30.4055284
50.5078166	30.4088650
50.5099698	30.4093946
50.5076495	30.4074712
50.5069803	30.4108843
50.5073937	30.4073284
50.4939509	30.4195931
50.4921857	30.4256969
50.4719390	30.4006949
50.4642367	30.4095784
50.4807859	30.4070416
50.4804158	30.4078369
50.4803261	30.4075523
50.4829298	30.4028086
50.3983406	30.4191490
50.4099605	30.5246261
50.5014487	30.4929035
50.5015207	30.4925824
50.4999556	30.4735989
50.4984704	30.4579005
50.4988086	30.4574278
50.5194884	30.4516009
50.5178746	30.4786847
50.5178801	30.4781921
50.4715006	30.6222076
50.4687043	30.6246146
50.4122231	30.6413123
50.4146896	30.6484164
50.4143299	30.6451239
50.4142671	30.6443127
50.4084034	30.6566137
50.4081611	30.6576639
50.4032711	30.6537679
50.4027411	30.6517512
50.4014957	30.6511767
50.4006627	30.6531553
50.4003915	30.6515221
50.3987071	30.6347637
50.3992587	30.6350111
50.3956861	30.6351290
50.3938426	30.6357101
50.3977637	30.6284065
50.3979486	30.6292459
50.3944949	30.6349000
50.3969513	30.6295554
50.3944680	30.6361074
50.3974736	30.6364328
50.3936185	30.6432051
50.3969046	30.6260301
50.3948154	30.6347624
50.3971424	30.6285626
50.4125516	30.6285607
50.4101155	30.6286205
50.4116069	30.6280327
50.4002788	30.6177457
50.4013554	30.6152958
